priority,folder,name,chars,note
"OCR_imagen","Capturas de pantalla e imagenes","FB_IMG_1662342304663.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","FB_IMG_1663351976002.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","Screenshot_20200516-172405_One UI Home.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","Screenshot_20201107-224826_One UI Home.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","Screenshot_20201112-105552_One UI Home.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","Screenshot_20220915_202707.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","Screenshot_20221016_113419.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","Sistema de fertirriego.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","image_6745aafd-4838-4898-a539-88721d5d8bfa20201025_210840.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","image_80d2e94d-6d7e-46eb-b101-ca5d74938f3b20230110_080040.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","image_9cb68095-737c-4170-ba0e-bdad5c9de43020220702_201734.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Capturas de pantalla e imagenes","image_ead1efd0-0678-49a4-9271-b9120318f2ca20221018_072747.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_probable_escaneado","Congreso Aguacate Intagri","Congreso Aguacate (programa de nutrición).pdf","20","20 car."
"OCR_probable_escaneado","Congreso nutrición INTAGRI 2024","03. Revolucionando formas antiguas de expresion de la fertilizacion.pdf","28","28 car."
"OCR_probable_escaneado","Curvas de extraccion","Curva de extracción berries.pdf","4","4 car."
"OCR_probable_escaneado","Curvas de extraccion","Curvas de extracción caña.pdf","2","2 car."
"OCR_probable_escaneado","Curvas de extraccion","Distribución de nutrientes en Maíz.pdf","2","2 car."
"OCR_probable_escaneado","Curvas de extraccion","Etapas y extracción de aplicación en Maíz .pdf","4","4 car."
"OCR_probable_escaneado","Curvas de extraccion","Extraccion Arroz.pdf","2","2 car."
"OCR_probable_escaneado","Curvas de extraccion","Extraccion aguacate.pdf","2","2 car."
"OCR_probable_escaneado","Enmiendas cálculos e información","Ejercicios de ácidos para neutralizar bicarbonatos.pdf","6","6 car."
"OCR_probable_escaneado","Enmiendas cálculos e información","Ejercicio enmienda Yeso, Cal y S .pdf","8","8 car."
"OCR_probable_escaneado","Enmiendas cálculos e información","Ejercicios enmiendas S, Cal y Yeso.pdf","12","12 car."
"OCR_probable_escaneado","Enmiendas cálculos e información","Neutralizar Bicarbonatos en suelo con Azufre.pdf","2","2 car."
"OCR_probable_escaneado","Enmiendas cálculos e información","pH de suelo.pdf","2","2 car."
"OCR_probable_escaneado","Hormonas vegetales","Ciclo hormonal de las plantas.pdf","2","2 car."
"OCR_probable_escaneado","Hormonas vegetales","Hormonas Vegetales en estres.pdf","4","4 car."
"OCR_probable_escaneado","Hormonas vegetales","Hormonas y Nutrientes en plantas (Notas Tecnicas Agronomicas).pdf","4","4 car."
"OCR_probable_escaneado","Hormonas vegetales","Manejo hormonal uva.pdf","2","2 car."
"OCR_probable_escaneado","Hormonas vegetales","Nutrientes en Balance hormonal en plantas.pdf","2","2 car."
"OCR_imagen","Hort Americas","Screenshot_20251208_193013_Zoom.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Hort Americas","Screenshot_20251208_194225_Zoom.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Hort Americas","Screenshot_20251208_195332_Zoom.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Hort Americas","Screenshot_20251208_201129_Chrome.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_probable_escaneado","Informacion tecnica","Aporte de nutrientes rastrojo de maíz .pdf","2","2 car."
"OCR_probable_escaneado","Informacion tecnica","Calcio a nivel celular en la planta .pdf","8","8 car."
"OCR_probable_escaneado","Informacion tecnica","Calcio a nivel celular en la planta.pdf","6","6 car."
"OCR_probable_escaneado","Informacion tecnica","Claves de la relación nitrógeno-calcio AGUACATE.pdf","6","6 car."
"OCR_probable_escaneado","Informacion tecnica","Conoce el efecto de la fertilización en el pH.pdf","6","6 car."
"OCR_probable_escaneado","Informacion tecnica","Cómo determinar el coeficiente de uniformidad de caudales.pdf","4","4 car."
"OCR_imagen","Informacion tecnica","EDDHA_60wL3aq.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Informacion tecnica","EDTA_08oyQJh.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_probable_escaneado","Informacion tecnica","Efecto salinidad en Berries .pdf","2","2 car."
"OCR_probable_escaneado","Informacion tecnica","Ejemplo solubilidad de sales.pdf","4","4 car."
"OCR_probable_escaneado","Informacion tecnica","Factores de la hidrólisis de Urea.pdf","4","4 car."
"OCR_probable_escaneado","Informacion tecnica","Macro y micro nutrientes en arándanos.pdf","4","4 car."
"OCR_probable_escaneado","Informacion tecnica","Niveles de referencia Hoja Banano.pdf","2","2 car."
"OCR_probable_escaneado","Informacion tecnica","Orden de quelatos de acuerdo a su estabilidad.pdf","2","2 car."
"OCR_probable_escaneado","Informacion tecnica","Porcentaje y ppm de nutrientes en planta.pdf","2","2 car."
"OCR_probable_escaneado","Informacion tecnica","Rango foliares en ppm de elementos en cultivos.pdf","4","4 car."
"OCR_probable_escaneado","Informacion tecnica","Relación de hormonas y microorganismo.pdf","6","6 car."
"OCR_probable_escaneado","Informacion tecnica","Regulación hormonal y Nutrientes para inducir.pdf","2","2 car."
"OCR_probable_escaneado","Informacion tecnica","Síntesis de proteína .pdf","2","2 car."
"OCR_probable_escaneado","Informacion tecnica","Salinidad y CE de los fertilizantes.pdf","4","4 car."
"OCR_probable_escaneado","Informacion tecnica","Síntesis y funcion de las proteínas en las plantas.pdf","2","2 car."
"OCR_probable_escaneado","Informacion tecnica","Volumen de transpiración en base absorción de Ca.pdf","2","2 car."
"OCR_probable_escaneado","Informacion tecnica","Índice salino de los fertilizantes .pdf","2","2 car."
"OCR_probable_escaneado","Información Isaosa y presentaciones Nutrición","Ecuación de liberación NLC.pdf","2","2 car."
"OCR_imagen","Información Isaosa y presentaciones Nutrición","PCN Caña.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_imagen","Información Isaosa y presentaciones Nutrición","Raiz en aguacate MF vs complejo.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_probable_escaneado","Literatura Adicional","04. Ammonium on potassium interaction. Xu et al. 2002.pdf","18","18 car."
"OCR_imagen","Liderazgo","Rueda de las emociones.jpg","","Imagen: el texto se indexará con OCR en una fase posterior."
"OCR_probable_escaneado","Liderazgo","6 retos de liderazgo.pdf","2","2 car."
"OCR_probable_escaneado","Manuales de cultivos","Brix en raíz de aguacate.pdf","2","2 car."
"OCR_probable_escaneado","Manuales de cultivos","Crecimiento del fruto del tomate _240310_133825.pdf","4","4 car."
"OCR_probable_escaneado","Manuales de cultivos","Nutrientes y extracción en Agave.pdf","12","12 car."
"OCR_probable_escaneado","Manuales de cultivos","Seguimiento nutrición Arándano (ejemplo).pdf","2","2 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Calculo de disponibilidad de agua en suelo.pdf","2","2 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Clave para identificar deficiencias.pdf","2","2 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Extraccion de nutrientes _VARIOS CULTIVOS.pdf","2","2 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Factires de convercion de meq a ppm y miligramos.pdf","4","4 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Interacción de nutrientes dentro y fuera de raiz .pdf","2","2 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","MANUAL DE AGRONOMIA 2.pdf","8","8 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Nivel de cationes de acuerdo a la CIC.pdf","2","2 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Tabla Periodica de Herbicidas.pdf","2","2 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Tabla Periódica Electronegatividad radio atomico.pdf","8","8 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Tabla periodica Electrones de Valencia y Radio Atomico.pdf","2","2 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Tabla periodica de los fungicidas.pdf","2","2 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Tabla periodica.pdf","2","2 car."
"OCR_probable_escaneado","Manuales y Herramientas de Nutrición Vegetal","Triángulo de texturas de suelo.pdf","4","4 car."
"OCR_probable_escaneado","Microbilogia","Microorganismos solubilizadores de fosforo_240310_133024.pdf","4","4 car."
"OCR_probable_escaneado","Microbilogia","Microbilogicos en suelo y niveles.pdf","12","12 car."
"OCR_probable_escaneado","Monitoreo y seguimiento vegetal","CE (% de perdida de rendimiento).pdf","2","2 car."
"OCR_probable_escaneado","Monitoreo y seguimiento vegetal","Monitoreo vegetal pH, CE y Brix con equipos.pdf","8","8 car."
"OCR_probable_escaneado","Monitoreo y seguimiento vegetal","Niveles de humedad en suelo PROAIN.pdf","2","2 car."
"OCR_probable_escaneado","Nutrientes","Absorción, transporte y asimilación den nitrógeno.pdf","4","4 car."
"OCR_probable_escaneado","Nutrientes","Antagonismo K y NH4.pdf","2","2 car."
"OCR_probable_escaneado","Nutrientes","Boro en aguacate.pdf","2","2 car."
"OCR_probable_escaneado","Nutrientes","Calcio en las células vegetales.pdf","2","2 car."
"OCR_probable_escaneado","Nutrientes","Calcio y Boro en las plantas.pdf","8","8 car."
"OCR_probable_escaneado","Nutrientes","Contenido de calcio en fruta de Aguacate.pdf","2","2 car."
"OCR_probable_escaneado","Nutrientes","Demanda de K y Ca después del cuajado en fruta.pdf","2","2 car."
"OCR_probable_escaneado","Nutrientes","Dinamica de K en suelo.pdf","6","6 car."
"OCR_probable_escaneado","Nutrientes","Disponibilidad de micros en suelo por efecto de pH.pdf","2","2 car."
